state,weather_ts,n_weather_events
SD,2016-07-25,36
KS,2017-09-11,2
SD,2016-09-05,12
SD,2016-09-19,3
TX,2016-06-13,23
NE,2017-05-15,32
TX,2016-10-31,7
SD,2016-05-16,17
TX,2018-07-02,30
NE,2016-07-04,31
KS,2017-08-14,27
OK,2017-05-22,89
KS,2018-05-14,187
TX,2017-04-24,48
ND,2018-07-09,29
NE,2016-04-25,33
TX,2018-04-09,99
KS,2016-05-16,16
SD,2016-08-29,9
SD,2018-05-28,42
SD,2017-08-21,44
TX,2018-03-26,91
OK,2018-07-02,10
SD,2017-09-11,1
KS,2018-07-02,2
NE,2017-08-14,49
OK,2017-08-28,1
TX,2017-10-30,1
OK,2016-10-31,1
ND,2016-06-06,16
NE,2018-04-09,2
OK,2018-07-09,7
OK,2017-04-10,1
NE,2017-09-18,5
SD,2018-09-10,8
TX,2016-10-03,6
KS,2018-06-04,27
ND,2017-07-31,13
KS,2016-08-29,4
KS,2018-09-17,15
OK,2017-08-14,2
OK,2016-10-03,20
OK,2017-05-01,15
OK,2018-08-13,45
OK,2018-06-11,23
NE,2017-03-06,6
KS,2017-03-20,19
KS,2017-02-27,19
NE,2016-08-01,5
SD,2018-04-09,6
KS,2018-10-01,6
NE,2018-07-16,52
OK,2016-03-07,1
SD,2017-08-07,26
KS,2018-08-20,5
NE,2018-08-13,8
OK,2016-04-18,1
OK,2016-03-21,33
KS,2018-07-16,96
OK,2018-08-06,20
ND,2017-07-03,42
ND,2017-02-20,1
NE,2017-08-21,21
TX,2016-05-09,108
TX,2019-02-25,4
KS,2016-05-02,24
KS,2017-10-09,3
KS,2018-03-19,29
OK,2018-04-30,49
OK,2016-05-16,14
ND,2016-07-25,9
NE,2016-05-16,8
NE,2017-10-02,24
ND,2017-08-21,3
NE,2016-06-06,1
ND,2016-07-18,36
KS,2016-09-05,14
TX,2017-06-05,37
KS,2017-10-02,56
OK,2016-02-29,21
ND,2017-08-28,6
OK,2018-07-30,39
TX,2018-02-19,17
OK,2017-05-08,41
TX,2017-09-11,3
KS,2016-06-27,20
TX,2019-02-11,1
SD,2016-08-22,7
OK,2018-05-21,15
KS,2018-08-27,52
SD,2016-06-27,31
NE,2018-06-18,71
TX,2017-03-06,1
ND,2016-06-27,5
SD,2017-06-19,10
SD,2018-09-17,4
KS,2017-07-10,1
TX,2016-05-23,142
SD,2018-05-21,28
KS,2017-04-24,4
TX,2017-05-22,57
OK,2016-10-24,4
TX,2018-07-30,21
TX,2016-03-07,31
KS,2016-08-22,40
TX,2016-01-04,16
OK,2017-06-05,1
TX,2018-08-06,19
NE,2018-06-25,65
OK,2017-04-03,43
NE,2017-04-10,73
SD,2017-10-02,1
TX,2016-04-11,206
NE,2016-03-21,1
TX,2016-05-02,18
OK,2017-03-06,30
TX,2016-03-28,21
TX,2017-03-27,160
NE,2017-07-31,18
SD,2017-07-03,12
KS,2018-06-18,181
KS,2017-08-07,26
OK,2017-04-24,61
OK,2018-03-05,3
OK,2017-06-19,5
NE,2018-08-20,1
KS,2016-08-15,2
KS,2018-07-09,5
KS,2016-06-13,45
SD,2017-06-12,54
TX,2016-05-16,162
KS,2017-06-05,5
OK,2016-10-17,1
KS,2016-09-12,39
NE,2018-07-09,4
OK,2018-08-20,3
ND,2016-08-22,23
KS,2017-09-18,4
KS,2016-10-10,1
OK,2017-02-27,5
TX,2017-05-29,19
ND,2016-06-13,31
TX,2018-07-23,3
KS,2017-05-22,50
KS,2018-05-07,5
TX,2017-07-31,1
KS,2016-06-06,1
KS,2018-05-21,34
SD,2018-06-11,62
SD,2018-08-20,52
ND,2017-05-29,15
OK,2018-06-25,84
TX,2016-03-21,43
SD,2016-07-11,39
TX,2018-10-01,12
NE,2016-09-12,16
OK,2016-07-11,8
OK,2016-04-25,66
SD,2017-07-24,5
NE,2016-06-13,17
KS,2016-08-01,1
OK,2016-08-08,2
OK,2017-06-26,18
SD,2017-05-22,1
KS,2016-10-24,2
KS,2017-06-19,50
TX,2017-04-10,127
SD,2018-08-06,8
SD,2017-09-04,1
ND,2018-07-23,1
NE,2016-09-05,20
TX,2016-04-04,16
KS,2016-07-25,17
TX,2018-05-07,15
SD,2016-08-15,17
NE,2016-10-03,22
NE,2017-04-03,9
KS,2018-04-23,6
ND,2016-07-11,23
KS,2016-05-23,188
TX,2018-08-13,24
TX,2019-02-04,5
TX,2018-10-29,34
ND,2018-05-21,13
KS,2017-08-21,5
ND,2017-06-26,3
TX,2018-05-21,63
NE,2016-05-30,23
NE,2016-09-19,6
SD,2018-04-23,1
KS,2018-04-09,27
NE,2018-07-30,14
OK,2016-06-20,2
NE,2017-09-25,5
TX,2017-01-16,30
NE,2018-03-19,1
NE,2017-06-26,94
OK,2016-05-23,72
ND,2017-07-17,45
KS,2017-06-26,29
ND,2017-06-12,4
OK,2016-05-30,5
KS,2016-05-09,108
OK,2018-10-08,22
TX,2017-05-15,180
SD,2016-07-18,49
OK,2017-10-16,19
OK,2017-04-17,26
KS,2017-03-06,57
NE,2017-06-19,7
TX,2017-04-03,22
OK,2018-06-04,10
KS,2016-07-18,1
OK,2016-05-02,14
TX,2017-05-08,60
TX,2018-06-25,38
TX,2016-03-14,66
NE,2017-05-08,3
NE,2017-10-09,1
SD,2016-05-30,19
KS,2018-06-25,185
TX,2018-08-27,7
SD,2017-04-10,3
TX,2016-08-22,9
OK,2017-12-04,2
ND,2017-06-05,50
TX,2019-01-14,3
OK,2016-04-11,35
TX,2017-02-27,18
ND,2017-08-07,12
NE,2017-07-17,18
TX,2016-11-07,1
KS,2016-04-18,26
KS,2019-02-04,2
TX,2018-03-12,59
TX,2018-03-05,28
TX,2018-08-20,5
OK,2016-04-04,1
KS,2017-03-27,12
KS,2017-04-03,2
TX,2018-04-30,54
TX,2016-12-05,1
KS,2018-05-28,188
KS,2016-04-25,158
TX,2016-02-22,13
TX,2017-08-14,5
SD,2018-04-30,2
TX,2017-07-03,21
ND,2018-06-11,70
SD,2016-07-04,34
TX,2018-05-28,92
TX,2018-04-23,8
OK,2016-05-09,56
TX,2018-06-11,36
KS,2017-08-28,3
KS,2017-07-03,7
TX,2018-04-16,19
NE,2018-05-28,109
TX,2016-05-30,61
KS,2018-07-30,26
SD,2018-06-25,104
OK,2018-03-19,5
TX,2016-04-25,148
KS,2018-03-26,6
NE,2016-08-22,1
OK,2016-07-25,4
SD,2017-07-17,25
TX,2016-04-18,58
NE,2016-11-21,1
TX,2018-07-09,11
SD,2018-07-09,24
TX,2018-09-03,1
NE,2018-07-23,66
OK,2016-03-28,14
NE,2018-08-06,49
TX,2016-01-25,1
OK,2016-09-05,1
TX,2017-04-17,95
SD,2016-06-13,21
TX,2016-07-11,14
NE,2017-08-07,30
SD,2018-07-23,49
KS,2018-08-06,18
OK,2018-04-09,13
ND,2017-07-10,24
ND,2018-05-14,3
TX,2016-06-06,4
OK,2018-08-27,8
NE,2016-07-11,8
NE,2016-04-18,5
NE,2018-07-02,19
ND,2018-09-10,12
ND,2018-05-28,48
SD,2018-06-04,120
ND,2016-09-05,5
SD,2018-07-16,66
TX,2018-06-18,54
NE,2018-05-07,94
SD,2017-07-10,29
TX,2018-10-08,43
NE,2016-05-23,71
NE,2016-07-25,42
TX,2018-09-17,2
OK,2016-08-22,12
SD,2016-05-23,41
ND,2018-08-13,4
SD,2017-08-14,34
ND,2016-08-29,11
NE,2017-08-28,2
KS,2016-03-07,2
OK,2018-01-15,1
OK,2017-08-21,1
SD,2018-05-14,53
SD,2017-05-15,3
NE,2018-09-17,31
SD,2018-06-18,26
NE,2016-08-08,7
OK,2017-08-07,4
NE,2016-08-29,17
NE,2016-07-18,5
ND,2016-05-23,4
NE,2016-05-09,55
TX,2016-09-12,28
OK,2017-03-27,26
NE,2018-10-01,2
KS,2017-09-25,11
NE,2017-04-17,9
KS,2018-08-13,55
KS,2018-06-11,90
NE,2017-07-10,6
KS,2016-10-03,38
NE,2017-07-03,34
SD,2018-08-13,6
NE,2017-07-24,2
TX,2017-06-19,12
OK,2018-07-23,13
NE,2018-06-04,90
NE,2016-06-20,8
KS,2016-07-04,20
TX,2016-01-18,6
OK,2018-07-16,6
ND,2018-07-02,137
TX,2018-01-22,17
TX,2018-03-19,26
TX,2018-02-05,4
SD,2018-05-07,16
OK,2018-05-07,3
KS,2017-07-17,10
NE,2018-04-30,76
TX,2018-04-02,102
TX,2016-07-25,1
ND,2016-08-01,35
KS,2017-04-17,23
ND,2018-08-20,10
SD,2018-07-30,53
NE,2016-06-27,51
TX,2017-07-24,1
TX,2018-02-26,2
TX,2017-08-07,3
NE,2018-09-03,1
NE,2018-05-21,22
NE,2016-03-28,12
SD,2017-07-31,8
ND,2017-08-14,1
KS,2018-07-23,97
TX,2018-06-04,110
NE,2018-06-11,68
TX,2017-02-13,3
OK,2018-10-01,10
SD,2016-08-08,46
KS,2016-06-20,11
OK,2017-07-03,10
OK,2017-03-20,17
KS,2016-07-11,21
TX,2017-01-09,5
TX,2016-08-01,1
ND,2016-05-30,5
OK,2016-09-12,3
ND,2017-05-22,1
OK,2016-03-14,3
ND,2016-06-20,33
TX,2018-01-08,2
NE,2017-06-05,7
TX,2017-02-20,1
OK,2016-07-04,10
NE,2018-05-14,20
OK,2019-02-04,4
SD,2017-06-26,26
ND,2016-08-15,3
ND,2016-07-04,80
TX,2017-05-01,78
TX,2016-11-28,2
TX,2017-10-16,10
SD,2017-09-18,22
NE,2017-03-20,7
OK,2017-05-15,79
KS,2017-05-08,27
TX,2018-07-16,1
OK,2017-06-12,27
NE,2018-08-27,32
SD,2018-08-27,40
OK,2018-05-14,97
OK,2016-08-15,1
TX,2018-05-14,232
SD,2016-06-20,12
ND,2018-07-30,11
KS,2017-05-15,142
TX,2016-07-04,15
OK,2017-07-31,1
NE,2017-06-12,131
OK,2017-09-18,1
TX,2017-06-26,16
OK,2018-05-28,130
KS,2018-04-30,185
TX,2017-06-12,69
OK,2018-03-26,6
ND,2018-05-07,1
ND,2018-08-27,28
SD,2017-06-05,30
KS,2016-05-30,11
SD,2018-07-02,69
ND,2018-07-16,13
KS,2017-07-31,11
KS,2018-10-08,2
SD,2016-08-01,13
TX,2018-10-15,2
ND,2016-08-08,30
OK,2018-04-02,8
KS,2017-05-29,31
ND,2017-07-24,6
NE,2016-05-02,12
OK,2016-06-27,5
KS,2016-03-28,25
ND,2017-09-18,8
ND,2018-09-03,13
OK,2018-02-19,4
TX,2017-01-02,1
TX,2017-09-18,8
KS,2017-10-16,3
OK,2018-06-18,114
TX,2016-06-20,1
NE,2017-09-11,15
TX,2017-10-02,1
SD,2018-09-03,5
ND,2018-06-25,51
NE,2016-08-15,16
KS,2017-06-12,151
TX,2017-03-20,25
KS,2018-09-03,4
SD,2016-06-06,3
KS,2016-04-11,18
KS,2017-04-10,54
ND,2018-06-04,57